Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-30,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-09-30,2000-06-30,2000-03-31,1999-12-31,1999-09-30,1999-06-30,1999-03-31,1998-12-31,1998-09-30,1998-06-30,1998-03-31,1997-12-31,1997-09-30,1997-06-30,1997-03-31,1996-12-31,1996-09-30,1996-06-30,1996-03-31,1995-12-31
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86000000,82000000,84000000,0,89000000,95000000,97000000,100000000,100000000,103000000,98000000,102000000,123000000,183000000,192000000,165000000,225000000,235000000,227000000,246000000,1805000000,2044000000,2064000000,2069000000,6487000000,6344000000,6308000000,3611000000,6396000000,6392000000,6072000000,5945000000,6072000000,6679000000,7011000000,6394000000,7014000000,7186000000,7173000000,7000000000,7053000000,6930000000,6726000000,6528000000,6490000000,6885000000,6869000000,7645000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0
Other Long-Term Assets,27167000000,26670000000,29508000000,30652000000,30367000000,28738000000,26905000000,26554000000,25451000000,25305000000,23765000000,23625000000,22650000000,22569000000,21394000000,20942000000,19775000000,18341000000,18920000000,18671000000,19183000000,18866000000,17400000000,16747000000,15948000000,15361000000,16586000000,16727000000,,16304000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49223000000,46268000000,42996000000,40504000000,43991000000,36536000000,32540000000,32526000000,33641000000,30888000000,32538000000,32096000000,37167000000,32376000000,27346000000,19798000000,24109000000,26079000000,23260000000,28081000000,29166000000,29938000000,29274000000,29355000000,,,,28234000000
Total Long-Term Assets,141677000000,139408000000,138831000000,145286000000,146844000000,148039000000,145709000000,147257000000,146887000000,150517000000,148178000000,145255000000,139874000000,144490000000,142403000000,143833000000,142086000000,141891000000,144123000000,143054000000,143966000000,141695000000,138541000000,133930000000,130866000000,129490000000,131448000000,128911000000,,122338000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242874000000,246757000000,236790000000,243422000000,244734000000,253058000000,246192000000,245557000000,241271000000,239098000000,232089000000,227665000000,222909000000,219411000000,208218000000,198836000000,188995000000,190507000000,185751000000,242250000000,237573000000,236750000000,228733000000,231175000000,,,,216002000000
Total Assets,256800000000,255884000000,246919000000,245755000000,252986000000,257035000000,252677000000,248532000000,260819000000,267261000000,259943000000,269366000000,264150000000,258537000000,258157000000,262184000000,263281000000,256540000000,258966000000,258079000000,267230000000,258496000000,251273000000,247469000000,244094000000,237951000000,234963000000,239678000000,237288000000,224925000000,219431000000,216045000000,212374000000,208615000000,208835000000,210945000000,207082000000,202179000000,201071000000,196210000000,193010000000,189406000000,184680000000,181236000000,182075000000,178348000000,162740000000,168086000000,167391000000,164687000000,177078000000,179750000000,191968000000,192040000000,203106000000,200190000000,203134000000,218298000000,242065000000,265297000000,282913000000,279264000000,276163000000,279218000000,272210000000,279196000000,267465000000,276948000000,269076000000,269459000000,268295000000,276834000000,280588000000,295487000000,288678000000,293613000000,300079000000,299397000000,310328000000,306189000000,289324000000,277122000000,285696000000,290291000000,275648000000,271893000000,277527000000,289546000000,284587000000,283390000000,282285000000,284580000000,275024000000,270249000000,267390000000,261305000000,246511000000,237545000000,228514000000,228271000000,223238000000,279097000000,274223000000,271416000000,261957000000,262867000000,,,,243283000000
Accounts Payable,26028000000,25605000000,27051000000,23378000000,23256000000,22349000000,22923000000,18593000000,23492000000,22204000000,21466000000,16360000000,18439000000,20673000000,22228000000,22980000000,23325000000,21520000000,23273000000,22743000000,25480000000,23282000000,23566000000,23568000000,23257000000,21296000000,22384000000,23084000000,22072000000,20272000000,22386000000,21844000000,22366000000,20035000000,21155000000,22062000000,22209000000,19531000000,21640000000,20961000000,20600000000,19308000000,20793000000,19661000000,19638000000,17724000000,18924000000,19424000000,19984000000,16362000000,17374000000,15976000000,15611000000,14301000000,15209000000,13971000000,12882000000,13145000000,20358000000,24216000000,23964000000,20832000000,25898000000,25495000000,24480000000,21214000000,22738000000,23595000000,24005000000,22910000000,22991000000,23853000000,24169000000,22030000000,22399000000,21879000000,26545000000,20407000000,20742000000,21832000000,20480000000,18936000000,26780000000,28865000000,28248000000,21328000000,27774000000,30074000000,30606000000,28607000000,28536000000,28141000000,26388000000,25759000000,24359000000,22756000000,19635000000,20566000000,18774000000,18963000000,21253000000,19509000000,18467000000,18214000000,18586000000,19109000000,,,,18912000000
Current Debt,48050000000,50164000000,44050000000,43819000000,48286000000,49692000000,47323000000,46012000000,49471000000,51343000000,50995000000,55344000000,52912000000,53946000000,54604000000,52851000000,54548000000,53493000000,50763000000,50884000000,52983000000,51621000000,51174000000,50773000000,49257000000,49669000000,47273000000,44861000000,,42975000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209000000,241000000,235000000,302000000,283000000,226000000,249000000,277000000,731000000,862000000,1107000000,1338000000,1429000000,1348000000,1501000000,1121000000,1168000000,855000000,801000000,1129000000,1587000000,1624000000,1756000000,1661000000,,,,1832000000
Total Current Liabilities,95905000000,96866000000,90167000000,86452000000,90352000000,90727000000,89033000000,83474000000,94249000000,97192000000,93159000000,92780000000,94494000000,98132000000,99087000000,98334000000,99237000000,95569000000,94750000000,94861000000,99878000000,94600000000,94352000000,94299000000,91304000000,90281000000,89188000000,89408000000,,82336000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45362000000,46584000000,44381000000,44546000000,41960000000,44543000000,43706000000,43181000000,42600000000,43247000000,39926000000,39605000000,41374000000,40814000000,37809000000,35643000000,35694000000,35677000000,36987000000,33291000000,35994000000,34180000000,32502000000,33170000000,,,,28776000000
Other Current Liabilities,21827000000,21097000000,19066000000,19255000000,18810000000,18686000000,18787000000,18869000000,21286000000,23645000000,20698000000,21076000000,23143000000,23513000000,22255000000,22503000000,21364000000,20556000000,20714000000,21234000000,21415000000,19697000000,19612000000,19958000000,18790000000,19316000000,19531000000,21463000000,,19089000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18373000000,17478000000,15898000000,22916000000,13903000000,14243000000,12851000000,14297000000,13333000000,14244000000,12431000000,12508000000,15586000000,16710000000,16673000000,13956000000,15752000000,15859000000,14933000000,12653000000,15940000000,14342000000,12160000000,12400000000,,,,8032000000
Long-Term Debt,91242000000,88805000000,84279000000,85008000000,87315000000,88400000000,97249000000,100905000000,103201000000,110341000000,106280000000,119886000000,114414000000,101361000000,99507000000,103213000000,102612000000,100720000000,102668000000,101959000000,105351000000,102666000000,97938000000,95236000000,96720000000,93301000000,89951000000,95053000000,,89879000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167667000000,170244000000,164654000000,167707000000,166761000000,174610000000,167789000000,165952000000,161709000000,159679000000,154272000000,150992000000,144038000000,142960000000,135539000000,131714000000,122964000000,123793000000,121430000000,167796000000,162706000000,162905000000,156115000000,157380000000,,,,147474000000
Total Long-Term Liabilities,118698000000,115851000000,114663000000,115066000000,117550000000,117686000000,126940000000,130274000000,132596000000,139258000000,133623000000,145731000000,139958000000,127175000000,123683000000,127714000000,127475000000,124905000000,127498000000,126650000000,130818000000,128192000000,123561000000,120811000000,122052000000,118387000000,114180000000,119021000000,,113838000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230364000000,233713000000,223848000000,224211000000,222202000000,231245000000,224812000000,221599000000,221412000000,216690000000,206679000000,203040000000,199095000000,194249000000,183955000000,178493000000,169102000000,169524000000,164754000000,215072000000,208552000000,208123000000,202203000000,202935000000,,,,189960000000
