Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31,2002-03-31
Other Long-Term Liabilities,3470908000000,3212992000000,3132877000000,3094816000000,2921688000000,2861097000000,2872893000000,2777338000000,2747338000000,2492004000000,2461317000000,2521125000000,2696335000000,3202511000000,2965287000000,2928002000000,2746561000000,2605698000000,2760413000000,2677522000000,2582908000000,2761727000000,3021530000000,2927431000000,2850672000000,2953115000000,2609516000000,2627192000000,3442890000000,3654108000000,3546387000000,3749817000000,3636610000000,3534991000000,3246355000000,3039435000000,2990891000000,2924026000000,2730764000000,2668160000000,2460117000000,2035934000000,1721009000000,1713213000000,1760636000000,1580053000000,1582739000000,1675051000000,1657932000000,1713419000000,1664333000000,1662801000000,1717221000000,1552192000000,1478532000000,1618992000000,1570538000000,1765767000000,1915246000000,2035199000000,2666120000000,,2806527000000,,2707932000000,2521028000000,2501921000000,2182527000000,2047930000000,2118919000000,2016404000000,1840510000000,1646754000000
Total Liabilities,45038967000000,43130564000000,45523676000000,43626648000000,40533951000000,37763340000000,36266420000000,36634248000000,37978811000000,35377237000000,34687732000000,34408870000000,32633351000000,32269480000000,31237761000000,31378907000000,32761195000000,30810512000000,31806815000000,30926252000000,30386173000000,31046071000000,30846844000000,30432228000000,30081233000000,29722406000000,26333841000000,27087178000000,29339411000000,30297149000000,30226540000000,30751512000000,30082501000000,29594075000000,27547541000000,25997429000000,26218486000000,25634682000000,24231660000000,23617558000000,22710461000000,20341087000000,18835408000000,19002182000000,19584487000000,18158158000000,17806152000000,18477708000000,18898142000000,18426469000000,18648685000000,19037226000000,19418844000000,18882035000000,18040489000000,18802581000000,18461300000000,18204625000000,20318737000000,21263688000000,20588793000000,,21509420000000,,20738687000000,19053312000000,18171146000000,16564827000000,15290061000000,14768118000000,13861661000000,13031974000000,12041618000000
Total Debt,31306380000000,30574712000000,32167845000000,31050856000000,28003991000000,26311756000000,25619058000000,25514154000000,26746942000000,25123705000000,24550360000000,25103005000000,22240302000000,20905311000000,19992005000000,20149240000000,21709387000000,20228117000000,20885496000000,20240450000000,19347564000000,20364476000000,19896017000000,19577583000000,19155727000000,19446199000000,16861060000000,17134780000000,18293153000000,19583276000000,19502731000000,19667125000000,18977887000000,19250175000000,17644167000000,16487737000000,16327393000000,16373017000000,15201644000000,14713818000000,14131780000000,12896927000000,11725274000000,11726627000000,12005546000000,11697573000000,11391486000000,12070138000000,12401056000000,12035620000000,12078947000000,12326632000000,12513406000000,12579640000000,11977969000000,12688294000000,12618653000000,11862636000000,12798068000000,13449499000000,12210083000000,,13016806000000,,12129092000000,11313104000000,10397397000000,9560936000000,8547672000000,8251141000000,7561485000000,7256193000000,6707084000000
Debt Growth,11.79%,16.20%,25.56%,21.70%,4.70%,4.73%,4.35%,1.64%,20.26%,20.18%,22.80%,24.59%,2.45%,3.35%,-4.28%,-0.45%,12.21%,-0.67%,4.97%,3.39%,1.00%,4.72%,18.00%,14.26%,4.72%,-0.70%,-13.55%,-12.88%,-3.61%,1.73%,10.53%,19.28%,16.23%,17.57%,16.07%,12.06%,15.54%,26.95%,29.65%,25.47%,17.71%,10.25%,2.93%,-2.85%,-3.19%,-2.81%,-5.69%,-2.08%,-0.90%,-4.32%,0.84%,-2.85%,-0.83%,6.04%,-6.41%,-5.66%,3.35%,,-1.68%,,0.67%,,25.19%,,41.90%,37.11%,37.50%,31.76%,27.44%,,,,
Common Stock,-4590000000,-160367000000,732259000000,501387000000,-207157000000,-808554000000,-668049000000,-532292000000,-699629000000,-1298700000000,-1542450000000,-1359792000000,-1615173000000,-2092812000000,-2018886000000,-1776106000000,-706676000000,-1624306000000,-1472480000000,-1301458000000,-1173181000000,-958621000000,-973469000000,-724409000000,-727180000000,-633828000000,-906445000000,-805362000000,-658073000000,-428785000000,-527467000000,-279462000000,-281361000000,-285132000000,-98729000000,-55366000000,-175308000000,-176981000000,-178376000000,-180358000000,-185048000000,-186928000000,-188307000000,-186363000000,-187980000000,-359396000000,-359559000000,-359307000000,-358573000000,-359337000000,-361238000000,-362020000000,-362044000000,-360480000000,-361050000000,-361724000000,-362634000000,-361033000000,-366167000000,-296851000000,-297818000000,,-726683000000,,-630011000000,-496146000000,-336655000000,-266487000000,-206566000000,-150550000000,56944000000,423477000000,726694000000
Retained Earnings,28343296000000,27696192000000,27304994000000,26873431000000,26453126000000,25748108000000,25278473000000,24655333000000,24104176000000,23102819000000,22553281000000,22073722000000,22234061000000,23368761000000,22913956000000,22326275000000,20613776000000,21531645000000,21456737000000,20875348000000,19473464000000,18984330000000,18338719000000,17883709000000,17601070000000,17205489000000,17401371000000,17010079000000,16794240000000,16369731000000,16454247000000,15844989000000,15591947000000,15044056000000,14681771000000,14267629000000,14116295000000,13819263000000,13499783000000,13061354000000,12689206000000,12375236000000,12370337000000,12112417000000,11917074000000,11841405000000,11823175000000,11742754000000,11835665000000,11810267000000,11779357000000,11680668000000,11568602000000,11456379000000,11365880000000,11344044000000,11531622000000,12297387000000,12665823000000,12526013000000,12408550000000,,12483267000000,,11764713000000,11058708000000,10459788000000,9771972000000,9332176000000,8827003000000,8326215000000,7301795000000,6804722000000
Comprehensive Income,0,0,0,0,0,0,0,0,0,0,0,0,0,-970426000000,-1099428000000,-1022489000000,0,-818100000000,-472865000000,-626973000000,435699000000,970779000000,888244000000,714983000000,640922000000,721568000000,-103018000000,-76909000000,610768000000,1346463000000,1112870000000,1639482000000,1477545000000,1557134000000,886513000000,501770000000,528161000000,567813000000,48649000000,16542000000,-356123000000,-926525000000,-1443135000000,-1415796000000,-1178833000000,-1458142000000,-1447183000000,-1142443000000,-1144721000000,-1220986000000,-1194691000000,-1132639000000,-846835000000,-962767000000,-1031171000000,-916112000000,-1107781000000,-1133172000000,-372664000000,23876000000,-241205000000,,624677000000,,701390000000,431973000000,437316000000,187280000000,-80660000000,-134377000000,-204592000000,-604272000000,-267304000000
Shareholders' Equity,28338706000000,27535825000000,28037253000000,27374818000000,26245969000000,24939554000000,24610424000000,24123041000000,23404547000000,21804119000000,21010831000000,20713930000000,20618888000000,20305523000000,19795642000000,19527680000000,19907100000000,19089239000000,19511392000000,18946917000000,18735982000000,18996488000000,18253494000000,17874283000000,17514812000000,17293229000000,16391908000000,16127808000000,16746935000000,17287409000000,17039650000000,17205009000000,16788131000000,16316058000000,15469555000000,14714033000000,14469148000000,14210095000000,13370056000000,12897538000000,12148035000000,11261783000000,10738895000000,10510258000000,10550261000000,10023867000000,10016433000000,10241004000000,10332371000000,10229944000000,10223428000000,10186009000000,10359723000000,10133132000000,9973659000000,10066208000000,10061207000000,10803182000000,11926992000000,12253038000000,11869527000000,,12381261000000,,11836092000000,10994535000000,10560449000000,9692765000000,9044950000000,8542076000000,8178567000000,7121000000000,7264112000000
Net Cash / Debt,-13793933000000,-14448166000000,-14961284000000,-13898402000000,-12201761000000,-12021446000000,-11318591000000,-11077402000000,-10674439000000,-9937414000000,-9726929000000,-10229646000000,-9376646000000,-8088520000000,-7243165000000,-7300211000000,-8808823000000,-8531709000000,-8446438000000,-8209019000000,-7277385000000,-7992172000000,-7663279000000,-7265681000000,-7059751000000,-7932102000000,-6253133000000,-5724825000000,-6897618000000,-8215490000000,-7936698000000,-8283876000000,-7492048000000,-8264471000000,-7215299000000,-6505096000000,-6430205000000,-7001264000000,-6023161000000,-5746270000000,-5743460000000,-5402021000000,-4479079000000,-4544051000000,-4950078000000,-4887970000000,-4746303000000,-4772709000000,-4754233000000,-4491313000000,-4162619000000,-4126737000000,-4252275000000,-4675888000000,-4775426000000,-5647037000000,-5742463000000,-5649090000000,-5790548000000,-6174266000000,-5603411000000,0,-6085153000000,0,-5658402000000,-5324186000000,-4645463000000,-4129944000000,-3447051000000,-3140345000000,-2691840000000,-2498136000000,-2408719000000
Working Capital,2500066000000,2056930000000,1530829000000,2282935000000,1880129000000,1487389000000,1415995000000,1795470000000,1316334000000,1066551000000,1320639000000,1535441000000,821111000000,1118359000000,1044656000000,1384791000000,696088000000,19921000000,544086000000,193770000000,355765000000,712126000000,803234000000,877901000000,514730000000,150131000000,634877000000,1202283000000,2085097000000,1687148000000,2345804000000,1425893000000,1504901000000,940562000000,955921000000,1254358000000,1037021000000,698484000000,1209219000000,1331914000000,872370000000,372010000000,721766000000,603904000000,539615000000,230071000000,313400000000,822230000000,1038765000000,1795659000000,2186370000000,2354736000000,2387390000000,1956568000000,1961667000000,1087814000000,709636000000,-32552000000,-57352000000,-40651000000,145485000000,,31312000000,,113241000000,477848000000,706487000000,711572000000,1212899000000,1296022000000,1250462000000,1568297000000,1400687000000
Book Value Per Share,20812.89,20117.52,20431.79,19868.06,18993.03,18005.89,17618.21,17116.66,16741.72,15604.33,15043.88,14725.97,14320.96,14103.31,13749.17,13563.06,13464.28,12911.12,13196.64,12814.86,12400.45,12572.87,12081.12,11830.13,11355.65,11211.98,10627.62,10456.39,10643.74,10987.25,10829.78,10934.88,10592.66,10294.80,9760.69,9283.99,9136.21,8972.64,8442.21,8143.85,7672.10,7112.38,6782.15,6637.76,6729.13,6393.39,6388.65,6531.88,6589.53,6524.21,6520.05,6496.19,6607.21,6462.70,6360.99,6420.02,6389.53,6860.73,7574.43,7781.49,7423.24,,7743.28,,7302.27,6783.07,6462.79,5931.78,5431.64,5129.65,4738.98,,
