Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-09-30,2006-03-31,2005-09-30,2005-03-31,2004-09-30,2004-03-31,2003-03-31,2002-03-31
Goodwill and Intangibles,1249122000000,1218945000000,1209032000000,1190300000000,1191966000000,1157947000000,1136931000000,1100561000000,1108634000000,1057967000000,1051104000000,1059140000000,1000257000000,0,0,0,908737000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0
Other Long-Term Assets,1194114000000,1090089000000,1111504000000,1137234000000,1061171000000,897197000000,883826000000,875233000000,886167000000,598069000000,597984000000,562711000000,520557000000,1801169000000,1658027000000,1640700000000,730273000000,1339710000000,1319507000000,1287099000000,1244062000000,1175923000000,1188489000000,1190436000000,1181593000000,1064216000000,946920000000,1007068000000,763269000000,1065195000000,1068047000000,1014143000000,971597000000,875447000000,804521000000,779820000000,781354000000,635440000000,620575000000,629478000000,623557000000,516820000000,525557000000,533280000000,517375000000,686496000000,695267000000,751689000000,723987000000,809573000000,778286000000,774181000000,798503000000,737686000000,710605000000,834293000000,776633000000,1035562000000,972844000000,1032572000000,1057541000000,,1154666000000,,1147375000000,929797000000,868637000000,870719000000,848044000000,890800000000,996013000000,825299000000,601339000000
Total Long-Term Assets,47843399000000,46820630000000,48675760000000,46631124000000,43966481000000,41948170000000,41070904000000,40226659000000,39490340000000,36333523000000,35420055000000,35473876000000,35009043000000,34550793000000,33263162000000,32830901000000,34237955000000,33294798000000,33990012000000,33022204000000,32155593000000,32711830000000,32127307000000,31393494000000,30916491000000,31073338000000,28122966000000,27931961000000,29218044000000,30743444000000,29749479000000,30649122000000,29793433000000,29705610000000,27525837000000,25881443000000,25719767000000,25721918000000,23664360000000,22798189000000,21698427000000,19903481000000,18139308000000,17922151000000,18329776000000,17358088000000,17141576000000,17674817000000,17988411000000,17431656000000,17244334000000,16980306000000,17275683000000,17181441000000,16937897000000,17698611000000,17763108000000,18264257000000,20476447000000,21246016000000,20372093000000,,21466331000000,,20694368000000,19145268000000,17996373000000,16471414000000,14894906000000,14172485000000,13191775000000,11530741000000,11232885000000
Total Assets,74303180000000,71580587000000,74484023000000,71935191000000,67688771000000,63618063000000,61758833000000,61651149000000,62267140000000,58010315000000,56483801000000,55916537000000,53972363000000,53801134000000,52240078000000,52117436000000,53416405000000,51085992000000,52516005000000,51049149000000,50308249000000,51216462000000,50253031000000,49456031000000,48750186000000,48111485000000,43776105000000,44524374000000,47427597000000,48922991000000,48574586000000,48821479000000,47729830000000,46722224000000,43784073000000,41455717000000,41437473000000,40518144000000,38246709000000,37168264000000,35483317000000,32157040000000,30100682000000,30029775000000,30650965000000,28761679000000,28387556000000,29284861000000,29818166000000,29234349000000,29437782000000,29781535000000,30349287000000,29552531000000,28538759000000,29404542000000,29062037000000,29591044000000,32898632000000,34185561000000,32458320000000,,33890681000000,,32574779000000,30047847000000,28731595000000,26257592000000,24335011000000,23310194000000,22040228000000,20152974000000,19305730000000
Accounts Payable,4986309000000,4227787000000,4629172000000,3981456000000,4292092000000,3904399000000,3349241000000,3769291000000,4045939000000,3563106000000,3606113000000,2731625000000,3498029000000,3345659000000,3483684000000,3380967000000,3856133000000,3252620000000,3260111000000,3271207000000,3634873000000,3209984000000,3226922000000,3187602000000,3503320000000,3011928000000,3050739000000,3400190000000,3429792000000,2945457000000,3097788000000,3079636000000,3323601000000,2919677000000,2973892000000,2870064000000,3058644000000,2591478000000,2809367000000,2716306000000,2834843000000,2301971000000,2454233000000,2621770000000,2871676000000,2280135000000,2248359000000,1973901000000,2082398000000,2083031000000,2291222000000,2399033000000,2528955000000,2338357000000,2302753000000,2141726000000,1970089000000,2224635000000,2771269000000,2862270000000,3019287000000,,2827961000000,,3019067000000,2645567000000,2816771000000,2529016000000,2549840000000,2346439000000,2374968000000,2150300000000,1995619000000
Current Debt,13698036000000,13360167000000,14054480000000,13540156000000,12233889000000,11592017000000,11497465000000,11286264000000,12975935000000,12848713000000,12067052000000,12122480000000,10445495000000,9970324000000,9651791000000,9600079000000,10177115000000,9794576000000,9821001000000,9824895000000,9341190000000,9872638000000,9393193000000,9257422000000,9244131000000,9564924000000,8154997000000,8064924000000,8521088000000,9432634000000,9301881000000,9411894000000,8963492000000,9267143000000,8645296000000,7849659000000,7780483000000,7760103000000,7073878000000,6802581000000,6793956000000,6473323000000,5850483000000,5941378000000,5963269000000,6292988000000,6100653000000,6055295000000,5951836000000,5329604000000,5101673000000,5398700000000,5497997000000,5664319000000,5055207000000,6122822000000,6317184000000,6783117000000,6874114000000,7201206000000,6228152000000,,6706951000000,,5865507000000,5205551000000,4756907000000,4253242000000,3532747000000,3443629000000,3314219000000,3118665000000,2984378000000
Total Current Liabilities,23959715000000,22703027000000,24277434000000,23021132000000,21842161000000,20182504000000,19271934000000,19629020000000,21460466000000,20610241000000,19743107000000,18907220000000,18142209000000,18131982000000,17932260000000,17901744000000,18482362000000,17771273000000,17981907000000,17833175000000,17796891000000,17792506000000,17322490000000,17184636000000,17318965000000,16888016000000,15018262000000,15390130000000,16124456000000,16492399000000,16479303000000,16746464000000,16431496000000,16076052000000,15302315000000,14319916000000,14680685000000,14097742000000,13373130000000,13038161000000,12912520000000,11881549000000,11239608000000,11503720000000,11781574000000,11173520000000,10932580000000,10787814000000,10790990000000,10007034000000,10007078000000,10446493000000,10686214000000,10414522000000,9639195000000,10618117000000,10589293000000,11359339000000,12479537000000,12980196000000,11940742000000,,12393038000000,,11767170000000,10424731000000,10028735000000,9074606000000,8227206000000,7841687000000,7597991000000,7053936000000,6672158000000
Other Current Liabilities,5275370000000,5115073000000,5593782000000,5499520000000,5316180000000,4686088000000,4425228000000,4573465000000,4438592000000,4198422000000,4069942000000,4053115000000,4198685000000,4815999000000,4796785000000,4920698000000,4449114000000,4724077000000,4900795000000,4737073000000,4820828000000,4709884000000,4702375000000,4739612000000,4571514000000,4311164000000,3812526000000,3925016000000,4173576000000,4114308000000,4079634000000,4254934000000,4144403000000,3889232000000,3683127000000,3600193000000,3841558000000,3746161000000,3489885000000,3519274000000,3283721000000,3106255000000,2934892000000,2940572000000,2946629000000,2600397000000,2583568000000,2758618000000,2756756000000,2594399000000,2614183000000,2648760000000,2659262000000,2411846000000,2281235000000,2353569000000,2302020000000,2351587000000,2834154000000,2916720000000,2693303000000,,2858126000000,,2882596000000,2573613000000,2455057000000,2292348000000,2144619000000,2051619000000,1908804000000,1784971000000,1692161000000
Long-Term Debt,17608344000000,17214545000000,18113365000000,17510700000000,15770102000000,14719739000000,14121593000000,14227890000000,13771007000000,12274992000000,12483308000000,12980525000000,11794807000000,10934987000000,10340214000000,10549161000000,11532272000000,10433541000000,11064495000000,10415555000000,10006374000000,10491838000000,10502824000000,10320161000000,9911596000000,9881275000000,8706063000000,9069856000000,9772065000000,10150642000000,10200850000000,10255231000000,10014395000000,9983032000000,8998871000000,8638078000000,8546910000000,8612914000000,8127766000000,7911237000000,7337824000000,6423604000000,5874791000000,5785249000000,6042277000000,5404585000000,5290833000000,6014843000000,6449220000000,6706016000000,6977274000000,6927932000000,7015409000000,6915321000000,6922762000000,6565472000000,6301469000000,5079519000000,5923954000000,6248293000000,5981931000000,,6309855000000,,6263585000000,6107553000000,5640490000000,5307694000000,5014925000000,4807512000000,4247266000000,4137528000000,3722706000000
Total Long-Term Liabilities,21079252000000,20427537000000,21246242000000,20605516000000,18691790000000,17580836000000,16994486000000,17005228000000,16518345000000,14766996000000,14944625000000,15501650000000,14491142000000,14137498000000,13305501000000,13477163000000,14278833000000,13039239000000,13824908000000,13093077000000,12589282000000,13253565000000,13524354000000,13247592000000,12762268000000,12834390000000,11315579000000,11697048000000,13214955000000,13804750000000,13747237000000,14005048000000,13651005000000,13518023000000,12245226000000,11677513000000,11537801000000,11536940000000,10858530000000,10579397000000,9797941000000,8459538000000,7595800000000,7498462000000,7802913000000,6984638000000,6873572000000,7689894000000,8107152000000,8419435000000,8641607000000,8590733000000,8732630000000,8467513000000,8401294000000,8184464000000,7872007000000,6845286000000,7839200000000,8283492000000,8648051000000,,9116382000000,,8971517000000,8628581000000,8142411000000,7490221000000,7062855000000,6926431000000,6263670000000,5978038000000,5369460000000
