Quarter Ended,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31
Other Long-Term Assets,4584000000,4193000000,3236000000,2952000000,2634000000,2138000000,1854000000,1626000000,1587000000,1536000000,1436000000,1415000000,1373000000,1470000000,820000000,842978000,801867000,572000000,431819000,419254000,415478000,273123000,231849000,209986000,224536000,216751000,161640000,138271000,114935000,46858000,84166000,73301000,62361000,54583000,52550000,45721000,43245000,30072000,24137000,31255000,26728000,27122000,26599000,26101000,26029000,30439000,28335000,28217000,27870000,27597000,77592000,24784000,17852000,6330000,,,,1479000
Total Long-Term Assets,43836000000,41421000000,38436000000,37291000000,36988000000,35031000000,32832000000,30453000000,28267000000,25431000000,23947000000,22799000000,22357000000,22206000000,21855000000,21690645000,21234702000,21433000000,21342222000,21210203000,20887509000,22084852000,21038341000,19684261000,18025837000,16404280000,7419985000,6665247000,5952159000,5285933000,4548702000,3839564000,3198613000,2650594000,2074619000,1612769000,1344363000,1150991000,947443000,758302000,617785000,589422000,524636000,459743000,402203000,340610000,288129000,228397000,180383000,150196000,120488000,57940000,44718000,29865000,,,,20272000
Total Assets,86833000000,82338000000,74426000000,68513000000,66038000000,62131000000,57834000000,55146000000,52972000000,52148000000,45691000000,38135000000,37250000000,34309000000,32795000000,31872597000,28912524000,29740000000,29262713000,27910000000,27271429000,28655372000,28107074000,26043705000,25053726000,22664076000,12592397000,11868952000,9191702000,8067939000,7547497000,6468185000,6120030000,5830667000,5437533000,5054463000,4500410000,2416930000,2166209000,1887844000,1143778000,1114190000,809177000,776869000,761100000,713448000,700250000,646155000,407289000,386082000,361621000,147974000,145320000,130424000,,,,51699000
Accounts Payable,15904000000,15255000000,13897000000,11212000000,11171000000,10025000000,8260000000,7558000000,6648000000,6051000000,4958000000,3638000000,3970000000,3771000000,3468000000,3133587000,3248827000,3405000000,3596984000,3030493000,2603498000,2390250000,2385778000,2359316000,2075333000,1860341000,1606284000,1114878000,1013486000,916148000,824861000,771637000,732331000,777946000,649362000,443548000,375778000,303969000,302439000,262227000,304204000,303382000,162025000,78601000,64333000,56141000,53627000,57199000,49660000,28951000,26990000,25634000,18190000,15086000,,,,14184000
Deferred Revenue,4661000000,4551000000,4193000000,4068000000,3779000000,3499000000,3166000000,3011000000,2886000000,2742000000,2491000000,2328000000,2385000000,2370000000,2185000000,2065335000,1920153000,1621000000,1521046000,1372141000,1354715000,2193052000,2034604000,1948977000,1796572000,1614916000,1207101000,1092069000,1013617000,870066000,710378000,623155000,539324000,483922000,415891000,374416000,323557000,273062000,195037000,98074000,9024000,4965000,5381000,5377000,5666000,5491000,5802000,6295000,6909000,7418000,5991000,10215000,8138000,2617000,,,,4073000
Current Debt,1404000000,1502000000,1457000000,1532000000,1659000000,1589000000,1716000000,1530000000,1819000000,2132000000,3126000000,3679000000,3217000000,1785000000,2030000000,1791085000,1705711000,2568000000,2106538000,2103185000,1998030000,896549000,424224000,816533000,1003311000,1150147000,260771000,626826000,635285000,627927000,651809000,638275000,630332000,611099000,607218000,603412000,598272000,7904000,588473000,5695000,56293000,55206000,54029000,38098000,21864000,8983000,388000,287000,275000,279000,291000,296000,293000,290000,,,,341000
Total Current Liabilities,27436000000,26709000000,24611000000,21821000000,21455000000,19705000000,18051000000,16371000000,14877000000,14248000000,13302000000,12270000000,11986000000,10667000000,10146000000,9588773000,9242800000,9993000000,9775324000,9141362000,8650359000,7674670000,6468940000,6546355000,6245439000,5827005000,4082390000,3766404000,3187699000,2811035000,2553771000,2384388000,2192381000,2107166000,1839777000,1575850000,1413470000,675160000,1169459000,486545000,535623000,539108000,385806000,286526000,235722000,191339000,154181000,138736000,112976000,85565000,69328000,68634000,59105000,57489000,,,,87935000
Other Current Liabilities,5467000000,5401000000,5064000000,5009000000,4846000000,4592000000,4909000000,4272000000,3524000000,3323000000,2727000000,2625000000,2414000000,2741000000,2463000000,2598766000,2368109000,2399000000,2550756000,2635543000,2694116000,2194819000,1624334000,1421529000,1370223000,1201601000,1008234000,932631000,525311000,396894000,366723000,351321000,290394000,234199000,167306000,154474000,115863000,90225000,83510000,120549000,166102000,175555000,164371000,164450000,143859000,120724000,94364000,74955000,56132000,48917000,36056000,32489000,32484000,39496000,,,,69337000
Long-Term Debt,1272000000,1597000000,2096000000,2898000000,3153000000,5245000000,6438000000,7871000000,9053000000,9607000000,10607000000,10460000000,10726000000,11634000000,11313000000,11234401000,9787950000,9404000000,9672613000,9513390000,8763728000,9418389000,9584554000,7127094000,7166239000,5978284000,2454690000,2657148000,2526955000,2068378000,2027575000,2049616000,1954214000,1876981000,1861602000,1847206000,1602481000,598974000,88429000,587989000,399245000,411460000,420485000,400875000,344044000,271165000,225661000,134536000,102905000,72324000,57123000,46058000,30639000,800000,,,,55416000
Total Long-Term Liabilities,10162000000,9731000000,8691000000,9034000000,9177000000,10843000000,11289000000,12525000000,13630000000,14170000000,14841000000,14484000000,14532000000,15532000000,15167000000,15133363000,13631818000,13434000000,13633820000,13501525000,12900662000,15348310000,15460117000,12913547000,12639914000,10923162000,5818249000,5545108000,4991012000,4125915000,3632889000,3317590000,3047375000,2753595000,2577501000,2460197000,2104942000,1074650000,355087000,771873000,439572000,450382000,451246000,428128000,371504000,298064000,251951000,158967000,126575000,93469000,72370000,69890000,46287000,7233000,,,,62300000
